CódigoIBGE;CódigoMunicípio;Município;Estado;Regiao;Ano;PopTotalAgua;PopTotalEsgotamento;VolumeAguaProduzido;VolumeAguaConsumido;ConsumoAguaPercapita;ConsumoEnergiaEletrica;ConsumoEnergiaPercapita;InvestimentoTotalEstado;InvestimentoPercapita;QuantidadeParalizacoes;DuracaoParalizacoes;QuantidadeReclamacoes
2706406;270640;Pão de Açúcar;AL;NE;2019;24399;;12730.12;12592.3;0.52;358.52;0.01;0;0;25;387;24
2706422;270642;Pariconha;AL;NE;2019;10533;;4187.47;4561.53;0.43;1104.88;0.1;183523.08;17.42;13;143;693
2706448;270644;Paripueira;AL;NE;2019;13176;;630.49;376.43;0.03;165.39;0.01;0;0;0;0;208
2706505;270650;Passo de Camaragibe;AL;NE;2019;15245;;343.56;191.61;0.01;165.39;0.01;0;0;0;0;243
2706604;270660;Paulo Jacinto;AL;NE;2019;7564;7564;521.05;223.22;0.03;110.02;0.01;0;0;15;162;2195
2706703;270670;Penedo;AL;NE;2019;63683;;4203.03;4006.49;0.06;1419.6;0.02;0;0;120;1000;100
2706802;270680;Piaçabuçu;AL;NE;2019;17827;;1163.52;317.46;0.02;583.62;0.03;0;0;4;35;62
2706901;270690;Pilar;AL;NE;2019;35111;;1256.98;516.43;0.01;397.15;0.01;0;0;1;20;642
2707008;270700;Pindoba;AL;NE;2019;2908;;98.13;39.88;0.01;44.43;0.02;0;0;4;43;498
2707107;270710;Piranhas;AL;NE;2019;25039;25039;2521.63;603.53;0.02;2816.7;0.11;0;0;8;48;2649
2707206;270720;Poço das Trincheiras;AL;NE;2019;14386;;0;109.59;0.01;1371.28;0.1;0;0;24;257;144
2707305;270730;Porto Calvo;AL;NE;2019;27165;;780;1000;0.04;0;0;0;0;95;2200;2000
2707404;270740;Porto de Pedras;AL;NE;2019;7786;;181.96;112.6;0.01;77.69;0.01;0;0;1;15;135
2707503;270750;Porto Real do Colégio;AL;NE;2019;;;;;0;;0;;0;;;
2707602;270760;Quebrangulo;AL;NE;2019;11294;11294;7237.43;7017.43;0.62;24.98;0;0;0;2;13;2932
2707701;270770;Rio Largo;AL;NE;2019;75120;75120;5380.58;1607.93;0.02;4466.42;0.06;0;0;5;174;4166
2707800;270780;Roteiro;AL;NE;2019;6664;6664;1000;86.4;0.01;1500;0.23;0;0;0;0;12
2707909;270790;Santa Luzia do Norte;AL;NE;2019;7296;;239.5;186.36;0.03;209.96;0.03;0;0;0;0;207
2708006;270800;Santana do Ipanema;AL;NE;2019;47654;47654;0;1161.26;0.02;9022.29;0.19;0;0;33;368;3302
2708105;270810;Santana do Mundaú;AL;NE;2019;;;;;0;;0;;0;;;
2708204;270820;São Brás;AL;NE;2019;6961;;15492.51;15319.11;2.2;77.85;0.01;0;0;12;249;12
2708303;270830;São José da Laje;AL;NE;2019;23927;;601;545.7;0.02;30;0;0;0;8;48;150
2708402;270840;São José da Tapera;AL;NE;2019;32260;;0;501.7;0.02;3946.54;0.12;0;0;33;379;577
2708501;270850;São Luís do Quitunde;AL;NE;2019;;;;;0;;0;;0;;;
2708600;270860;São Miguel dos Campos;AL;NE;2019;61251;61251;3690;2089;0.03;1685.6;0.03;0;0;10;64;11651
2708709;270870;São Miguel dos Milagres;AL;NE;2019;;;;;0;;0;;0;;;
2708808;270880;São Sebastião;AL;NE;2019;34152;;0;259.02;0.01;1238.59;0.04;0;0;21;459;145
2708907;270890;Satuba;AL;NE;2019;13828;;407.57;216.67;0.02;347.34;0.03;0;0;8;70;399
2708956;270895;Senador Rui Palmeira;AL;NE;2019;13870;;0;105.7;0.01;717.3;0.05;0;0;36;531;231
2709004;270900;Tanque d Arca;AL;NE;2019;;;;;0;;0;;0;;;
2709103;270910;Taquarana;AL;NE;2019;19980;;357.32;236.93;0.01;470.89;0.02;0;0;8;78;101
2709152;270915;Teotônio Vilela;AL;NE;2019;44169;44169;2200;1900;0.04;637.12;0.01;0;0;31;230;3086
2709202;270920;Traipu;AL;NE;2019;27715;;1952.31;1614.85;0.06;339.33;0.01;0;0;24;405;60
2709301;270930;União dos Palmares;AL;NE;2019;65611;65611;4598.04;1967.98;0.03;1110.02;0.02;0;0;6;40;13479
2709400;270940;Viçosa;AL;NE;2019;25733;;2760;956;0.04;;0;0;0;12;102;1320
1300029;130002;Alvarães;AM;N;2019;16041;;358.16;77.44;0;165.03;0.01;0;0;22;140;313
1300060;130006;Amaturá;AM;N;2019;;;;;0;;0;;0;;;
1300086;130008;Anamã;AM;N;2019;;;;;0;;0;;0;;;
1300102;130010;Anori;AM;N;2019;;;;;0;;0;;0;;;
1300144;130014;Apuí;AM;N;2019;;;;;0;;0;;0;;;
1300201;130020;Atalaia do Norte;AM;N;2019;;;;;0;;0;;0;;;
1300300;130030;Autazes;AM;N;2019;39565;;1771.25;369.42;0.01;398.27;0.01;0;0;5;60;276
1300409;130040;Barcelos;AM;N;2019;;;;;0;;0;;0;;;
1300508;130050;Barreirinha;AM;N;2019;;;;;0;;0;;0;;;
1300607;130060;Benjamin Constant;AM;N;2019;42984;;2707.81;642.93;0.01;905;0.02;0;0;18;310;1327
1300631;130063;Beruri;AM;N;2019;;;;;0;;0;;0;;;
1300680;130068;Boa Vista do Ramos;AM;N;2019;;;;;0;;0;;0;;;
1300706;130070;Boca do Acre;AM;N;2019;;;;;0;;0;;0;;;
1300805;130080;Borba;AM;N;2019;41161;;2000;2000;0.05;0;0;0;0;19;527;1320
1300839;130083;Caapiranga;AM;N;2019;;;;;0;;0;;0;;;
1300904;130090;Canutama;AM;N;2019;15629;;1700;600;0.04;37;0;0;0;6;40;100
1301001;130100;Carauari;AM;N;2019;28294;28294;2737.2;1071.12;0.04;1024.7;0.04;0;0;22;530;2128
1301100;130110;Careiro;AM;N;2019;;;;;0;;0;;0;;;
1301159;130115;Careiro da Várzea;AM;N;2019;30225;;239.82;82;0;85.87;0;0;0;16;130;124
1301209;130120;Coari;AM;N;2019;;;;;0;;0;;0;;;
1301308;130130;Codajás;AM;N;2019;28637;;1394.63;434.28;0.02;637.47;0.02;0;0;28;990;570
1301407;130140;Eirunepé;AM;N;2019;35273;;1998.17;592.75;0.02;672.39;0.02;0;0;44;2210;1733
1301506;130150;Envira;AM;N;2019;20033;;530;520;0.03;798;0.04;;0;0;0;20
1301605;130160;Fonte Boa;AM;N;2019;;;;;0;;0;;0;;;
1301654;130165;Guajará;AM;N;2019;16678;16678;2000;1500;0.09;2950;0.18;;0;0;0;800
1301704;130170;Humaitá;AM;N;2019;;;;;0;;0;;0;;;
1301803;130180;Ipixuna;AM;N;2019;;;;;0;;0;;0;;;
1301852;130185;Iranduba;AM;N;2019;;;;;0;;0;;0;;;
1301902;130190;Itacoatiara;AM;N;2019;;;;;0;;0;;0;;;
1301951;130195;Itamarati;AM;N;2019;7851;;252;63.28;0.01;212.75;0.03;0;0;17;712;489
1302009;130200;Itapiranga;AM;N;2019;;;;;0;;0;;0;;;
1302108;130210;Japurá;AM;N;2019;;;;;0;;0;;0;;;
1302207;130220;Juruá;AM;N;2019;14712;;934.41;260.74;0.02;518.12;0.04;0;0;19;802;708
1302306;130230;Jutaí;AM;N;2019;;;;;0;;0;;0;;;
1302405;130240;Lábrea;AM;N;2019;46069;;4029.6;554.07;0.01;1000;0.02;0;0;10;100;60
1302504;130250;Manacapuru;AM;N;2019;;;;;0;;0;;0;;;
1302553;130255;Manaquiri;AM;N;2019;32105;;1506.82;397.61;0.01;546.99;0.02;0;0;36;1301;722
1302603;130260;Manaus;AM;N;2019;2182763;2182763;200929;61492.28;0.03;137425.63;0.06;0;0;21;227;67566
1302702;130270;Manicoré;AM;N;2019;55751;;3958;3845;0.07;2918;0.05;0;0;18;144;600
1302801;130280;Maraã;AM;N;2019;;;;;0;;0;;0;;;
1302900;130290;Maués;AM;N;2019;;;;;0;;0;;0;;;
1303007;130300;Nhamundá;AM;N;2019;;;;;0;;0;;0;;;
1303106;130310;Nova Olinda do Norte;AM;N;2019;;;;;0;;0;;0;;;
1303205;130320;Novo Airão;AM;N;2019;19454;;1562.3;1322.52;0.07;736.8;0.04;0;0;1;8;312
1303304;130330;Novo Aripuanã;AM;N;2019;;;;;0;;0;;0;;;
1303403;130340;Parintins;AM;N;2019;114273;;6870.95;5557.91;0.05;7000;0.06;0;0;0;0;367
1303502;130350;Pauini;AM;N;2019;19426;;1200;1118.88;0.06;219.7;0.01;25000;1.29;6;360;40
1303536;130353;Presidente Figueiredo;AM;N;2019;;;;;0;;0;;0;;;
1303569;130356;Rio Preto da Eva;AM;N;2019;;;;;0;;0;;0;;;
1303601;130360;Santa Isabel do Rio Negro;AM;N;2019;;;;;0;;0;;0;;;
1303700;130370;Santo Antônio do Içá;AM;N;2019;;;;;0;;0;;0;;;
1303809;130380;São Gabriel da Cachoeira;AM;N;2019;;;;;0;;0;;0;;;
1303908;130390;São Paulo de Olivença;AM;N;2019;39299;;1297.85;366.88;0.01;627.47;0.02;0;0;38;1802;1281
1303957;130395;São Sebastião do Uatumã;AM;N;2019;14020;;500;418;0.03;354;0.03;0;0;0;0;95
1304005;130400;Silves;AM;N;2019;9171;;1000;860;0.09;14.15;0;0;0;1;12;300
1304062;130406;Tabatinga;AM;N;2019;65844;;5021.86;701.23;0.01;1444.02;0.02;0;0;39;408;4029
1304104;130410;Tapauá;AM;N;2019;;;;;0;;0;;0;;;
1304203;130420;Tefé;AM;N;2019;;;;;0;;0;;0;;;
1304237;130423;Tonantins;AM;N;2019;;;;;0;;0;;0;;;
1304260;130426;Uarini;AM;N;2019;;;;;0;;0;;0;;;
1304302;130430;Urucará;AM;N;2019;16256;;2438.28;2011.03;0.12;928.63;0.06;0;0;0;0;948
1304401;130440;Urucurituba;AM;N;2019;;;;;0;;0;;0;;;
1600105;160010;Amapá;AP;N;2019;9109;9109;797.9;183.65;0.02;250.27;0.03;0;0;3;18;52
1600204;160020;Calçoene;AP;N;2019;11117;;785.58;118.96;0.01;97.48;0.01;0;0;7;42;26
1600212;160021;Cutias;AP;N;2019;5983;;904.85;199.62;0.03;229.91;0.04;0;0;1;6;52
1600238;160023;Ferreira Gomes;AP;N;2019;7780;;1238.55;178.54;0.02;508.93;0.07;0;0;2;12;18
1600253;160025;Itaubal;AP;N;2019;5503;;530.05;116.1;0.02;91.65;0.02;0;0;2;12;4
1600279;160027;Laranjal do Jari;AP;N;2019;50410;;3557.44;952.31;0.02;1382.53;0.03;0;0;3;18;8
1600303;160030;Macapá;AP;N;2019;503327;503327;42072.55;10888.59;0.02;14675.66;0.03;1248253.19;2.48;6;36;559
1600402;160040;Mazagão;AP;N;2019;21632;21632;1345.8;268.5;0.01;163.89;0.01;0;0;1;6;8
1600501;160050;Oiapoque;AP;N;2019;27270;27270;542.25;177.09;0.01;220.98;0.01;0;0;4;24;81
1600154;160015;Pedra Branca do Amapari;AP;N;2019;16502;;71.27;3.78;0;149.1;0.01;0;0;2;12;66
1600535;160053;Porto Grande;AP;N;2019;21971;;245.01;60.82;0;144.82;0.01;0;0;2;12;26
1600550;160055;Pracuúba;AP;N;2019;5120;;370.14;78.42;0.02;60.39;0.01;0;0;1;6;59
1600600;160060;Santana;AP;N;2019;121364;121364;9479.62;3274.02;0.03;3121.88;0.03;0;0;4;24;399
1600055;160005;Serra do Navio;AP;N;2019;5397;5397;1171.93;199.6;0.04;1165.1;0.22;0;0;2;12;90
1600709;160070;Tartarugalzinho;AP;N;2019;17315;;427.41;178.11;0.01;237.76;0.01;0;0;1;6;64
1600808;160080;Vitória do Jari;AP;N;2019;15931;;2274.88;516.57;0.03;515.76;0.03;0;0;3;18;90
2900108;290010;Abaíra;BA;NE;2019;;;;;0;;0;;0;;;
2900207;290020;Abaré;BA;NE;2019;20086;20086;629.08;375.52;0.02;399.65;0.02;;0;24;271;11219
2900306;290030;Acajutiba;BA;NE;2019;15159;;1113.32;804.85;0.05;860.22;0.06;;0;27;453;11675
2900355;290035;Adustina;BA;NE;2019;17040;;600.59;408.38;0.02;502.69;0.03;;0;0;0;7592
2900405;290040;Água Fria;BA;NE;2019;16970;;416.9;265.73;0.02;513.46;0.03;;0;0;0;5836
2900603;290060;Aiquara;BA;NE;2019;4446;;112.8;106.46;0.02;77.46;0.02;;0;3;85;2483
2900702;290070;Alagoinhas;BA;NE;2019;151596;151596;18330;5145;0.03;7600;0.05;0;0;107;863;38974
2900801;290080;Alcobaça;BA;NE;2019;22470;;703.14;489.72;0.02;419.25;0.02;;0;1;11;20931
2900900;290090;Almadina;BA;NE;2019;5464;;216.74;194.38;0.04;16.3;0;;0;1;27;3728
2901007;290100;Amargosa;BA;NE;2019;37241;37241;1519.76;1029.92;0.03;1949.37;0.05;;0;3;27;35680
2901106;290110;Amélia Rodrigues;BA;NE;2019;25102;;1219.25;821.44;0.03;2177.38;0.09;;0;0;0;24099
2901155;290115;América Dourada;BA;NE;2019;16094;;646.79;420.46;0.03;3513.56;0.22;;0;4;65;13103
2901205;290120;Anagé;BA;NE;2019;17857;;366.29;240.89;0.01;270.67;0.02;;0;0;0;4448
2901304;290130;Andaraí;BA;NE;2019;13143;;366.58;242.64;0.02;647.57;0.05;;0;2;36;5047
2901353;290135;Andorinha;BA;NE;2019;14595;;2.77;313.97;0.02;0;0;;0;3;61;6056
2901403;290140;Angical;BA;NE;2019;13977;;467.76;355.1;0.03;909.99;0.07;;0;7;104;9442
2901502;290150;Anguera;BA;NE;2019;11221;;366.29;204.76;0.02;771.75;0.07;;0;0;0;6371
2901601;290160;Antas;BA;NE;2019;19291;;428.36;275.81;0.01;923.34;0.05;;0;0;0;6435
2901700;290170;Antônio Cardoso;BA;NE;2019;11683;;219.46;151.66;0.01;463.61;0.04;;0;0;0;4981
2901809;290180;Antônio Gonçalves;BA;NE;2019;11798;;371.15;275.09;0.02;2533.69;0.21;;0;2;43;3583
2901908;290190;Aporá;BA;NE;2019;17731;;1365.06;957.5;0.05;180.48;0.01;;0;21;368;12427
2901957;290195;Apuarema;BA;NE;2019;7330;;221.93;189.53;0.03;378.54;0.05;;0;21;371;4184
2902054;290205;Araças;BA;NE;2019;;;;;0;;0;;0;;;
2902005;290200;Aracatu;BA;NE;2019;13135;;297.56;207.56;0.02;808.37;0.06;;0;18;242;5879
2902104;290210;Araci;BA;NE;2019;54379;54379;940.15;767.5;0.01;1725.47;0.03;0;0;0;0;19426
2902203;290220;Aramari;BA;NE;2019;11397;;321.4;184.08;0.02;314.54;0.03;;0;0;0;4324
2902252;290225;Arataca;BA;NE;2019;11019;;201.29;158.78;0.01;85.29;0.01;;0;0;0;5471
2902302;290230;Aratuípe;BA;NE;2019;8825;;312.05;159.03;0.02;80.89;0.01;;0;0;0;4161
2902401;290240;Aurelino Leal;BA;NE;2019;11531;;495.81;337.65;0.03;84.56;0.01;;0;0;0;14061
2902500;290250;Baianópolis;BA;NE;2019;13877;;201.63;146.93;0.01;195.13;0.01;;0;0;0;4551
2902609;290260;Baixa Grande;BA;NE;2019;20468;20468;647.24;409.1;0.02;1599.34;0.08;;0;9;197;9807
2902658;290265;Banzaê;BA;NE;2019;13229;13229;251.35;148.83;0.01;1055.13;0.08;;0;0;0;2548
2902708;290270;Barra;BA;NE;2019;53578;;3766.8;1669.8;0.03;;0;0;0;2;15;150
2902807;290280;Barra da Estiva;BA;NE;2019;20598;20598;1544.4;829.98;0.04;92.08;0;0;0;0;0;674
2902906;290290;Barra do Choça;BA;NE;2019;31603;31603;1426.07;1218.02;0.04;1344.33;0.04;;0;0;0;30109
2903003;290300;Barra do Mendes;BA;NE;2019;13865;;531.56;345.54;0.02;2563.65;0.18;;0;4;66;7782
2903102;290310;Barra do Rocha;BA;NE;2019;5714;;179.81;132.45;0.02;95.95;0.02;;0;0;0;3626
2903201;290320;Barreiras;BA;NE;2019;155439;155439;9677.03;6564.4;0.04;5042.27;0.03;;0;2;29;189928
2903235;290323;Barro Alto;BA;NE;2019;14931;;404.31;258.67;0.02;2417.54;0.16;;0;3;42;4256
2903276;290327;Barrocas;BA;NE;2019;15978;;1207.82;844.81;0.05;2726.01;0.17;;0;0;0;7494
2903300;290330;Barro Preto;BA;NE;2019;;;;;0;;0;;0;;;
2903409;290340;Belmonte;BA;NE;2019;23328;23328;600.55;456.75;0.02;339.77;0.01;;0;0;0;12417
2903508;290350;Belo Campo;BA;NE;2019;17211;;0;161.79;0.01;6.54;0;;0;0;0;7211
2903607;290360;Biritinga;BA;NE;2019;15979;15979;580.55;423.62;0.03;413.74;0.03;0;0;0;0;4118
2903706;290370;Boa Nova;BA;NE;2019;12633;;416.66;281.08;0.02;835.21;0.07;;0;2;22;5104
2903805;290380;Boa Vista do Tupim;BA;NE;2019;18576;18576;507.89;391.99;0.02;917.81;0.05;0;0;11;187;10796
2903904;290390;Bom Jesus da Lapa;BA;NE;2019;69148;69148;3252;2941;0.04;8430;0.12;0;0;0;0;14941
2903953;290395;Bom Jesus da Serra;BA;NE;2019;9880;;0;129.02;0.01;18.91;0;;0;0;0;2549
2904001;290400;Boninal;BA;NE;2019;14368;;200.98;176.47;0.01;99.86;0.01;;0;0;0;2172
2904050;290405;Bonito;BA;NE;2019;16764;;265.06;186.73;0.01;368.1;0.02;;0;0;0;5147
2904100;290410;Boquira;BA;NE;2019;;;;;0;;0;;0;;;
